id,title,subtitle,author,track,date,description,technologies,keywords,github_url,demo_url,youtube_url,has_demo,has_github,has_video,content_length,url
0,AfriLex AI,AfriLex AI is a Pan-African legal-rights assistant built with Gemini 3 Pro’s multimodal and multilingual intelligence.,,Overall Track,"Hackathon Writeup · Dec 11, 2025","AfriLex AI Companion is a Pan-African legal-rights assistant built with Gemini 3 Pro’s multimodal and multilingual intelligence. It helps people understand laws, analyze documents, and receive safe, reliable legal guidance using text, voice, images, and live video.

Digital literacy remains a major challenge across Africa—many citizens struggle with navigating apps, reading long documents, or understanding legal terms. AfriLex solves this by communicating in people’s own languages, accents, cultures, and expressions, making legal understanding feel natural and familiar rather than technical or intimidating.

Legal help is also extremely expensive across the continent. Most people cannot afford a lawyer or even a brief consultation. AfriLex fills this critical gap by offering instant, low-cost legal information, helping users understand contracts, fines, rental issues, police encounters, workplace disputes, and more.

Users can simply show a document to the camera, speak in their mother tongue, or interact face-to-face, and AfriLex explains everything clearly. With support for 12+ African languages, the assistant becomes accessible to millions who are often left out of digital and legal systems.

Built entirely in Google AI Studio, the project demonstrates how Gemini 3’s reasoning, vision, and conversational abilities can dramatically increase legal literacy and empower communities at scale.",Gemini,"legal, afrilex, people, african, assistant, built, gemini, understand, documents, digital",,,,False,False,False,1413.0,https://www.kaggle.com/competitions/gemini-3/writeups/new-writeup-1764958735984
1,Orgy - The Organic Health Movement,"Creating a seamless experience to transition into organic healthy eating, healing, and achieving nutritional balance.",,Overall Track,"Hackathon Writeup · Dec 12, 2025","Orgy: The AI That Prescribes Nature Over Pharma
The Mission: Augie isn't just a health app; it’s an AI-driven intervention against the processed food and synthetic supplement industry. It empowers users to heal and thrive using organic, nature-based remedies.
The Features & Logic",,"nature, orgy, prescribes, over, pharma, mission, augie, just, health, driven",,https://orgy-health.vercel.app/profile,,True,False,False,280.0,https://www.kaggle.com/competitions/gemini-3/writeups/new-writeup-1764959193512
2,I built AURA Creator Studio,Transforming Ideas into Digital Gold,,Overall Track,"Hackathon Writeup · Dec 5, 2025","Welcome to AURA, a next-generation creative workspace designed exclusively for the modern content creator. In an era where attention is the new currency, AURA serves as your digital mint, transforming raw, fleeting ideas into polished, high-value content assets.

We built AURA because we understand the struggle of ""Blank Canvas Paralysis."" You have the charisma, the camera gear, and the audience, but sometimes the idea just won't take shape. Or perhaps you have the concept, but you're stuck on how to package it for the algorithm.

AURA is not just a utility; it is a creative partner. It combines the raw computational power of Google's Gemini AI with a sophisticated, user-centric design philosophy we call ""Gilded Noir."" The result is a platform that feels less like software and more like a luxury studio suite—a place where your creativity is treated with the dignity it deserves.

AURA handles the heavy lifting of pre-production, allowing you to focus on what you do best: performing and connecting with your audience.

The first 3 seconds of your video determine its destiny. AURA generates 5 distinct viral hook options for every query. These aren't just random titles; they are psychologically calibrated scroll-stoppers designed to trigger curiosity, debate, or emotion.

A good hook is wasted on a bad video. AURA writes a complete 60-second script tailored specifically to the pacing of short-form content.

Before they click, they must see. AURA leverages the gemini-2.5-flash-image model to generate 4 high-fidelity thumbnail concepts. These serve as artistic storyboards, giving you concrete visual references for lighting, composition, and expression before you even pick up a camera.

Content knows no borders, and neither does AURA. We have engineered the system to be culturally and emotionally intelligent.

Expand your reach beyond your native tongue. AURA natively supports generation in:

Context is king. A tutorial on ""How to file taxes"" requires a different energy tha","Gemini, gemini","aura, your, content, just, generation, gemini, like, video, creative, designed",,,,False,False,False,2728.0,https://www.kaggle.com/competitions/gemini-3/writeups/new-writeup-1764959315336
3,Onlygains.ai,Personal coach that tracks and manages fitness and nutrition and recovery of athletes.,,Overall Track,"Hackathon Writeup · Dec 8, 2025","Onlygains.ai is the first closed-loop Preventive Health Operating System designed to democratize elite personal coaching. It acts as an always-on, hyper-intelligent AI coach that lives in your pocket (specifically on WhatsApp), connecting the fragmented silos of Fitness, Nutrition, and Recovery into a single, cohesive lifecycle.

The current fitness landscape is broken and fragmented. Athletes and health-conscious individuals are forced to juggle multiple disconnected tools—separate apps for food logging, workout tracking, and recovery metrics—that never ""talk"" to each other. Furthermore, elite human coaching is expensive, often relies on static spreadsheets, and lacks the bandwidth to manage every vernacular lifestyle trend (Keto, Hyrox, etc.) simultaneously.

We built Onlygains.ai to be the ""Andrew Huberman in your pocket"". By leveraging the advanced reasoning and multimodal capabilities of Gemini-3-pro, we have created an agent that doesn't just log data—it understands it, plans for you, and keeps you accountable 24/7.

Key Features:

At the core of Onlygains.ai is Gemini-3-pro, which serves as the ""brain"" of our operation. We chose this model for its superior long-context handling and reasoning abilities, allowing the AI to:

We are moving beyond simple ""tracking"" to ""measurable prevention"". By making data-driven health decisions accessible to everyone—not just those who can afford human coaches—we aim to increase the health span of our users and tap into the $150B preventive health market. Onlygains.ai is the lifelong companion that finally connects all the dots.",Gemini,"health, onlygains, preventive, elite, coaching, your, pocket, fragmented, fitness, recovery",,,,False,False,False,1594.0,https://www.kaggle.com/competitions/gemini-3/writeups/new-writeup-1764959415332
4,Stat'master by F2X,"Stat'Master: AI app for 9th-graders to master statistics with interactive lessons, endless practice, AI homework scan, personalized tutor.",,Overall Track,"Hackathon Writeup · Dec 11, 2025","Stat'Master is an AI-powered learning app for 9th-graders that makes statistics click.

It combines clear, bite-sized lessons, unlimited generated practice with instant feedback, and AI-scanned homework correction so students see what to fix right away.

A built-in Gemini tutor answers questions in simple terms, while parents get progress summaries after each session.

The result: a single, friendly app that turns a hard math chapter into a guided, confidence-building experience.",Gemini,"stat, master, powered, learning, graders, makes, statistics, click, combines, clear",,https://stat-master-3-me-104669827200.us-west1.run.app/,,True,False,False,484.0,https://www.kaggle.com/competitions/gemini-3/writeups/new-writeup-1764959458143
5,Penny AI - Gemini 3 Pro AI studio Hackathon,"Penny AI: AI Finance tracker featuring 3D budget visualization voice logging, splitting, and a context-aware reasoning chat assistant",,Overall Track,"Hackathon Writeup · Dec 11, 2025","Penny AI is a financial intelligence platform engineered entirely within Google AI Studio using Gemini 3 Pro, driven by two core multimodal engines. The first is a high-fidelity voice parser that deconstructs complex spoken narratives directly into structured, multi-party transactions, giving a seamless and very easy way of logging transactions or income. The second is the ""Penny AI"" Chat, which is a comprehensive AI Chat that functions as a dynamic UI Orchestrator and financial coach that knows almost everything about your spending and habits and goals and more. By leveraging sophisticated context injection, grounding the model in the user's entire financial ecosystem, the AI executes precise tool calls to deterministically (it doesn't pass arguments in the tool call) render interactive charts and widgets directly within the chat stream based on real-time queries.

Beyond analysis, Penny actively manages the user's financial state by automating recurring transaction rules for subscriptions and bills, while coordinating family syncing and debt settlement using a greedy minimization algorithm. The Analytics page offers a comprehensive financial deep dive featuring AI-powered spending forecasts and ""Hasala IQ"" insights, fun lifestyle equivalents for your expenses (like instant noodles or movie tickets), and detailed interactive visualizations for your daily trends, weekly spending patterns, income sources, and category breakdowns. Additionally, it integrates the Gemini 2.5 Flash Image model to generate context-aware infographics on demand. Ultimately, Penny aims to transform the chaotic reality of personal finance, split bills, confusing subscriptions, and panic, into a clear, actionable, intuitive and visually engaging path forward.",Gemini,"financial, penny, chat, your, spending, within, using, gemini, directly, into",,,https://youtu.be/KdToQYQe2Ps,False,False,True,1761.0,https://www.kaggle.com/competitions/gemini-3/writeups/new-writeup-1764959747065
6,Renalytics,A web application to help in the early detection of Chronic Kidney Disease (CKD) by assessing risk factors,,Overall Track,"Hackathon Writeup · Dec 5, 2025","This web application serves as a comprehensive digital guardian for renal health, designed to facilitate the early detection of Chronic Kidney Disease (CKD). By bridging the gap between complex medical data and user-friendly insights, the platform empowers users to take control of their long-term well-being.

Key Features:

Intelligent Risk Assessment: Users input key health metrics (such as blood pressure, glucose levels, and GFR), which the application analyzes against established medical risk factors to calculate a personalized risk profile.

Dynamic Trend Visualization: The app transforms static data points into clear, interactive graphs. This allows users and healthcare providers to spot negative trends over time—often the first sign of silent progression—before they become critical.

Actionable Insights: Beyond just data, the system provides tailored lifestyle recommendations and alerts, guiding users on when to seek professional medical advice.

Core Functionality:

Input & Analysis: The system ingests patient demographic and physiological data to compute a risk stratification score based on KDIGO (Kidney Disease: Improving Global Outcomes) guidelines.

Data Visualization Module: Utilizing charting libraries, the app renders longitudinal data to visualize the trajectory of biomarkers like Creatinine and BUN, highlighting deviations from the norm.

Decision Support: The final module processes the risk score to output tiered recommendations, ranging from ""Monitor at Home"" to ""Consult Nephrologist Immediately.""",,"data, risk, users, medical, application, health, kidney, disease, insights, input",,,,False,False,False,1540.0,https://www.kaggle.com/competitions/gemini-3/writeups/renalytics
7,MediScan360 - AI Powered Multimodal Health Triage & Doctor Assistant,"MediScan360: AI health assistant analyzing symptoms, reports, prescriptions, and images to provide risk, urgency, and doctor-ready summaries",,Overall Track,"Hackathon Writeup · Dec 11, 2025","1️⃣ Overview: What Is MediScan360?

MediScan360 is an intelligent, AI-powered medical triaging and personal health-analysis companion designed to bring healthcare guidance to anyone, anywhere, whenever they need it. Built on Google’s latest Gemini 3 Pro multimodal intelligence, MediScan360 analyzes symptoms, lab reports, prescriptions, medical imaging, and voice descriptions to deliver highly accurate, real-time health insights. Instead of waiting for appointments, struggling to interpret medical documents, or guessing what your symptoms might indicate, MediScan360 empowers users with early detection, personalized recommendations, and actionable next steps. It is not a replacement for medical professionals, but rather a powerful assistant that enhances decision-making, improves understanding, and helps users communicate more effectively with healthcare providers. MediScan360 combines AI triage, medical reasoning, document interpretation, risk analysis, and personalized health coaching into one unified mobile application. Its core goal is to make healthcare more understandable, more accessible, and more preventive by catching warning signs early and guiding users with clarity and confidence.

2️⃣ Key Features
Below is a breakdown of all the major capabilities MediScan360 provides, each powered by advanced AI reasoning and multimodal processing.

🔹 1. AI Symptom Checker + Risk Assessment
Users can input symptoms through text, voice, or image-based descriptions. The AI processes duration, intensity, pattern, and associated indicators to generate:
Potential conditions
Risk level (Low, Medium, High, Critical)
Whether self-care is enough
Whether medical attention is needed
Urgency level (Routine / Priority / Emergency)

🔹 2. Medical Report Analyzer
Upload any medical PDF—from pathology reports to radiology findings—and MediScan360 instantly extracts:
Key biomarkers
Abnormal values
Interpretation of results
Risk factors based on medical data
Personalized follow-up actions
",Gemini,"medical, health, symptoms, users, risk, user, analysis, reports, voice, early",https://github.com/abdulla2025/mediscan360,,,False,True,False,6657.0,https://www.kaggle.com/competitions/gemini-3/writeups/mediscan360
8,Verified Hands: The Multimodal AI Proctor,An AI verification system that audits performance and grades trade skills with strict security checks.,,Overall Track,"Hackathon Writeup · Dec 12, 2025","I built Verified Hands. It’s a real-time AI certification platform that solves this by turning your laptop or phone into a strict exam center.

The idea is simple: You don't just take a test; you demonstrate your skill live on camera. I used Google Gemini 3 Pro to create an AI ""Drill Sergeant"" that actually watches you work, guides you through tasks, and grades you instantly. It’s not just recording video—it’s understanding what you’re doing.                                                How It Works

Identity First: You can't just log in. You have to capture a live ""Master Key"" photo. The system then checks your face every few seconds during the exam to make sure you haven't swapped places with someone else.

The 360° Object Hunter: Before you start, the AI makes you scan your room with your camera. It hunts for phones, second monitors, or people hiding in the corner. If the room isn't clean, the exam doesn't start.

The Drill Sergeant: This is the cool part. If you're doing a physical task (like soldering) or a digital one (like coding), the AI watches you. If you hold a tool wrong or forget your safety goggles, it shouts at you (literally, using text-to-speech) to fix it. It forces you to do it right.

Stealth Security: While you work, a background ""Interceptor"" is analyzing everything. It tracks your eye movement to see if you're looking at notes, and even monitors your jaw movement to catch you whispering to a friend.

The Result: If you pass, you get a Verified Career Passport. It’s a digital certificate with a hash of your session and a detailed breakdown of your skills. It’s proof that you actually did the work.

Key Features

Powered by Gemini 3 Pro: I used the new ""Deep Think"" capabilities so the AI can reason through complex physical tasks, not just guess.

Hybrid Verification: I combined Gemini 1.5 Flash for super-fast background security checks with Gemini 3 Pro for the heavy grading logic.

Zero-Trust Security: I added features like a ""Tab-Switch Guil",Gemini,"your, verified, just, gemini, exam, live, work, checks, like, security",,,https://youtu.be/xfQ4sW8_pww,False,False,True,2314.0,https://www.kaggle.com/competitions/gemini-3/writeups/VerifiedHands-ai-certification
9,VibeHow_V0,Vibe Generating Visual Instructions For How-To Questions In Daily Life,,Overall Track,"Hackathon Writeup · Dec 12, 2025","How-To Questions Are Asked In Daily Life

But Can Be Niche And Require Illustrations

For Example: ""How to say 'The only way to do great work is to love what you do' in sign language?""

Introducing VibeHow: Vibe Generating Visual Instructions

VibeHow

Details in Links:",,"vibehow, questions, asked, daily, life, niche, require, illustrations, example, only",,,https://www.youtube.com/watch?v=KROhOIzYMwI,False,False,True,270.0,https://www.kaggle.com/competitions/gemini-3/writeups/new-writeup-1764960973367
